Course Section,Course Subject,Course Number,Section Number,Section Status,Enrolled/Capacity,All Instructors,Units,Meeting Patterns,Locations,Course Tags,Instructional Format,Delivery Mode,Start Date,End Date,Academic Period,Overlapping Course(s)
THTR 2A-1 - Critical Thinking and Writing II,Theatre,2A,1,Open,0/19,,4,M W F | 2:15 PM - 3:20 PM,Rm 231 Mayer Theatre,Core Foundations :: Critical Thinking and Writing 2,Lecture,In-Person,2026-03-30,2026-06-11,Spring 2026 Quarter,
THTR 12A-1 - Cultures and Ideas II (All the World's a Stage),Theatre,12A,1,Open,0/24,Lazlo Ilya Pearlman | Lazlo Ilya Pearlman,4,M W F | 3:30 PM - 4:35 PM,Rm 231 Mayer Theatre,Core Foundations :: Cultures and Ideas 2,Lecture,In-Person,2026-03-30,2026-06-11,Spring 2026 Quarter,
THTR 12A-2 - Cultures and Ideas II (All the World's a Stage),Theatre,12A,2,Open,0/24,Benjamin Gillespie,4,T Th | 8:30 AM - 10:10 AM,Rm 231 Mayer Theatre,Core Foundations :: Cultures and Ideas 2,Lecture,In-Person,2026-03-30,2026-06-11,Spring 2026 Quarter,
