Course Section,Course Subject,Course Number,Section Number,Section Status,Enrolled/Capacity,All Instructors,Units,Meeting Patterns,Locations,Course Tags,Instructional Format,Delivery Mode,Start Date,End Date,Academic Period,Overlapping Course(s)
ITAL 2-1 - Introduction to Italian Language and Culture II (-),Italian Studies,2,1,Open,0/22,Irene Bubula-Phillips,4,M W F | 9:15 AM - 10:20 AM,Rm 209 O'Connor Hall,Core Foundations :: Second Language: Business and Natural Sciences,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ITAL 2-2 - Introduction to Italian Language and Culture II (-),Italian Studies,2,2,Open,0/22,Irene Bubula-Phillips,4,M W F | 10:30 AM - 11:35 AM,Rm 209 O'Connor Hall,Core Foundations :: Second Language: Business and Natural Sciences,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ITAL 2-3 - Introduction to Italian Language and Culture II (-),Italian Studies,2,3,Open,0/22,Maria Bertola | Marie Bertola,4,M W F | 11:45 AM - 12:50 PM,Rm 209 O'Connor Hall,Core Foundations :: Second Language: Business and Natural Sciences,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ITAL 2-4 - Introduction to Italian Language and Culture II (-),Italian Studies,2,4,Open,0/22,Diana Ferrara,4,M W F | 1:00 PM - 2:05 PM,Rm 307 Lucas Hall,Core Foundations :: Second Language: Business and Natural Sciences,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ITAL 2A-1 - Italian for Spanish Speakers 2,Italian Studies,2A,1,Open,0/22,Irene Bubula-Phillips,4,M W F | 1:00 PM - 2:05 PM,Rm 101 Alameda hall,Core Foundations :: Second Language: Business and Natural Sciences,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
"ITAL 11A-1 - Cultures and Ideas I (Italy, Gateway of Cultures II: Renaissance and Beyond)",Italian Studies,11A,1,Open,0/25,Evelyn Ferraro,4,T Th | 10:20 AM - 12:00 PM,Rm 164 Graham Hall,Core Foundations :: Cultures and Ideas 1,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
"ITAL 22-1 - Italian, Media, Language and Communication (-)",Italian Studies,22,1,Open,0/22,Maria Bertola | Marie Bertola,4,M W F | 9:15 AM - 10:20 AM,Rm 105 Kenna Hall,"Core Foundations :: Second Language: Arts and Social Sciences

Core Foundations :: Second Language: Business and Natural Sciences",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ITAL 198A-1 - Italian Internship,Italian Studies,198A,1,Open,0/22,Evelyn Ferraro,4 - 5,T Th | 2:00 PM - 3:40 PM,Rm 164 Graham Hall,"Core Foundations :: Second Language: Arts and Social Sciences

Core Foundations :: Second Language: Business and Natural Sciences",Internship,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
