Course Section,Course Subject,Course Number,Section Number,Section Status,Enrolled/Capacity,All Instructors,Units,Meeting Patterns,Locations,Course Tags,Instructional Format,Delivery Mode,Start Date,End Date,Academic Period,Overlapping Course(s)
CLAS 12A-1 - Cultures and Ideas II (Ancient Spaces),Classics,12A,1,Open,0/25,Carolynn Roncaglia,4,M W F | 1:00 PM - 2:05 PM,Rm 204 O'Connor Hall,Core Foundations :: Cultures and Ideas 2,Lecture,In-Person,2026-03-30,2026-06-11,Spring 2026 Quarter,
CLAS 12A-2 - Cultures and Ideas II (-),Classics,12A,2,Open,0/25,,4,T Th | 2:00 PM - 3:40 PM,,Core Foundations :: Cultures and Ideas 2,Lecture,In-Person,2026-03-30,2026-06-11,Spring 2026 Quarter,
CLAS 12A-3 - Cultures and Ideas II (-),Classics,12A,3,Open,0/25,,4,T Th | 3:50 PM - 5:30 PM,,Core Foundations :: Cultures and Ideas 2,Lecture,In-Person,2026-03-30,2026-06-11,Spring 2026 Quarter,
