Course Section,Course Subject,Course Number,Section Number,Section Status,Enrolled/Capacity,All Instructors,Units,Meeting Patterns,Locations,Course Tags,Instructional Format,Delivery Mode,Start Date,End Date,Academic Period,Overlapping Course(s)
HIST 12A-1 - Cultures and Ideas II (-),History,12A,1,Open,0/25,,4,M W F | 1:00 PM - 2:05 PM,,Core Foundations :: Cultures and Ideas 2,Lecture,In-Person,2026-03-30,2026-06-11,Spring 2026 Quarter,
HIST 12A-2 - Cultures and Ideas II (Cultures of Islam),History,12A,2,Open,0/25,Marwan Daoud Hanania,4,M W F | 11:45 AM - 12:50 PM,,Core Foundations :: Cultures and Ideas 2,Lecture,In-Person,2026-03-30,2026-06-11,Spring 2026 Quarter,
HIST 12A-3 - Cultures and Ideas II (Africa and the Atlantic World),History,12A,3,Open,0/25,Harry Odamtten,4,M W F | 11:45 AM - 12:50 PM,,Core Foundations :: Cultures and Ideas 2,Lecture,In-Person,2026-03-30,2026-06-11,Spring 2026 Quarter,
HIST 12A-4 - Cultures and Ideas II (Cultures of Islam),History,12A,4,Open,0/25,Marwan Daoud Hanania,4,M W F | 1:00 PM - 2:05 PM,,Core Foundations :: Cultures and Ideas 2,Lecture,In-Person,2026-03-30,2026-06-11,Spring 2026 Quarter,
HIST 12A-5 - Cultures and Ideas II (Latin American Mobilities),History,12A,5,Open,0/25,Mateo Carrillo,4,M W F | 3:30 PM - 4:35 PM,,Core Foundations :: Cultures and Ideas 2,Lecture,In-Person,2026-03-30,2026-06-11,Spring 2026 Quarter,
HIST 12A-7 - Cultures and Ideas II (-),History,12A,7,Open,0/25,,4,M W F | 8:00 AM - 9:05 AM,,Core Foundations :: Cultures and Ideas 2,Lecture,In-Person,2026-03-30,2026-06-11,Spring 2026 Quarter,
HIST 12H-1 - Cultures and Ideas II - Honors (Slavery & Unfreedom),History,12H,1,Closed,19/18,Megan Gudgeirsson | Meg Gudgeirsson,4,M W F | 8:00 AM - 9:05 AM,,Core Foundations :: Cultures and Ideas 2,Lecture,In-Person,2026-03-30,2026-06-11,Spring 2026 Quarter,
