Course Section,Course Subject,Course Number,Section Number,Section Status,Enrolled/Capacity,All Instructors,Units,Meeting Patterns,Locations,Course Tags,Instructional Format,Delivery Mode,Start Date,End Date,Academic Period,Overlapping Course(s)
CENG 135-1 - Reinforced Concrete Design,"Civil, Envr & Sust Engineering",135,1,Open,0/20,,4,T Th | 5:40 PM - 7:20 PM,RM 3301 SCDI,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CENG 135L-1 - Reinforced Concrete Lab,"Civil, Envr & Sust Engineering",135L,1,Open,0/20,,1,Th | 2:15 PM - 5:00 PM,RM 3302 SCDI,,Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CENG 150-1 - Traffic Engineering: Design and Operation,"Civil, Envr & Sust Engineering",150,1,Open,0/20,Rong He | Rachel He,4,M W F | 11:45 AM - 12:50 PM,RM 1322 SCDI,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,CENG 150-/CENG 250-1
CENG 161-1 - Sustainable Water Resources,"Civil, Envr & Sust Engineering",161,1,Open,0/20,Edwin Maurer,3,T Th | 12:10 PM - 1:50 PM,RM 1322 SCDI,"Pathways :: Sustainability

Pathways :: Values in Science and Technology",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,CENG 161-/CENG 261-1
CENG 186-1 - Construction Planning and Control,"Civil, Envr & Sust Engineering",186,1,Open,0/20,Hisham Said,3,W | 5:25 PM - 8:15 PM,Rm 125 Heafey Hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,CENG 186-/CENG 286-1
CENG 193-1 - Detailed Project Design (-),"Civil, Envr & Sust Engineering",193,1,Closed,0/0,,3,,,Pathways :: Design Thinking,Independent Study,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CENG 193-2 - Detailed Project Design (-),"Civil, Envr & Sust Engineering",193,2,Closed,0/0,,3,,,Pathways :: Design Thinking,Independent Study,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CENG 193-3 - Detailed Project Design (-),"Civil, Envr & Sust Engineering",193,3,Closed,0/0,,3,,,Pathways :: Design Thinking,Independent Study,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CENG 193-4 - Detailed Project Design (-),"Civil, Envr & Sust Engineering",193,4,Closed,0/0,,3,,,Pathways :: Design Thinking,Independent Study,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CENG 193-5 - Detailed Project Design (-),"Civil, Envr & Sust Engineering",193,5,Closed,0/0,,3,,,Pathways :: Design Thinking,Independent Study,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CENG 193-6 - Detailed Project Design (-),"Civil, Envr & Sust Engineering",193,6,Closed,0/0,,3,,,Pathways :: Design Thinking,Independent Study,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CENG 193-7 - Detailed Project Design (-),"Civil, Envr & Sust Engineering",193,7,Closed,0/0,,3,,,Pathways :: Design Thinking,Independent Study,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CENG 193L-1 - Detailed Project Design Lab,"Civil, Envr & Sust Engineering",193L,1,Open,0/42,Laura Doyle,1,M | 2:15 PM - 4:00 PM,RM 3116 SCDI,,Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
