Course Section,Course Subject,Course Number,Section Number,Section Status,Enrolled/Capacity,All Instructors,Units,Meeting Patterns,Locations,Course Tags,Instructional Format,Delivery Mode,Start Date,End Date,Academic Period,Overlapping Course(s)
RJUS 220-1 - Restorative Justice,Restorative Justice&Chaplaincy,220,1,Open,0/18,Suzanne Neuhaus,4,Th | 6:00 PM - 9:00 PM,,,Lecture,Online,2026-01-05,2026-03-20,Winter 2026 Quarter,
RJUS 221-1 - Chaplaincy,Restorative Justice&Chaplaincy,221,1,Open,0/18,Robert McKay,4,T | 6:00 PM - 9:00 PM,,,Lecture,Online,2026-01-05,2026-03-20,Winter 2026 Quarter,
