Course Section,Course Subject,Course Number,Section Number,Section Status,Enrolled/Capacity,All Instructors,Units,Meeting Patterns,Locations,Course Tags,Instructional Format,Delivery Mode,Start Date,End Date,Academic Period,Overlapping Course(s)
GERM 2-1 - Elementary German II (-),German Studies,2,1,Open,0/22,Josef Hellebrandt,4,M W F | 8:00 AM - 9:05 AM,Rm 008 Casa Italiana Residence,Core Foundations :: Second Language: Business and Natural Sciences,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
GERM 2-2 - Elementary German II (-),German Studies,2,2,Open,0/22,Maike Ahrends,4,M W F | 9:15 AM - 10:20 AM,Rm 201 O'Connor Hall,Core Foundations :: Second Language: Business and Natural Sciences,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
GERM 22-1 - Intermediate German II (-),German Studies,22,1,Open,0/22,Josef Hellebrandt,4,M W F | 9:15 AM - 10:20 AM,Rm 008 Casa Italiana Residence,"Core Foundations :: Second Language: Arts and Social Sciences

Core Foundations :: Second Language: Business and Natural Sciences",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
