Course Section,Course Subject,Course Number,Section Number,Section Status,Enrolled/Capacity,All Instructors,Units,Meeting Patterns,Locations,Course Tags,Instructional Format,Delivery Mode,Start Date,End Date,Academic Period,Overlapping Course(s)
FREN 2-1 - Introduction to French Language and Francophone Cultures II (-),French & Francophone Studies,2,1,Open,0/22,Jeffrey Burkholder,4,M W F | 9:15 AM - 10:20 AM,Commons Mclaughlin-Walsh Residence Hall,Core Foundations :: Second Language: Business and Natural Sciences,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
FREN 2-2 - Introduction to French Language and Francophone Cultures II (-),French & Francophone Studies,2,2,Open,0/22,Keziah Poole,4,M W F | 10:30 AM - 11:35 AM,Rm 231 Mayer Theatre,Core Foundations :: Second Language: Business and Natural Sciences,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
FREN 2-3 - Introduction to French Language and Francophone Cultures II (-),French & Francophone Studies,2,3,Open,0/22,Jeffrey Burkholder,4,M W F | 11:45 AM - 12:50 PM,Rm 231 Aloysius Varsi Hall,Core Foundations :: Second Language: Business and Natural Sciences,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
FREN 12A-1 - Cultures and Ideas II (The French-speaking World),French & Francophone Studies,12A,1,Closed,23/0,Keziah Poole,4,M W F | 1:00 PM - 2:05 PM,Rm 201 O'Connor Hall,Core Foundations :: Cultures and Ideas 2,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
FREN 22F-1 - Food and Culture in the Francophone World,French & Francophone Studies,22F,1,Open,0/22,Lamia Benyoussef,5,M W F | 10:30 AM - 11:35 AM,Rm 101 Alameda hall,"Core Foundations :: Second Language: Arts and Social Sciences

Core Foundations :: Second Language: Business and Natural Sciences",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
FREN 22F-2 - Food and Culture in the Francophone World,French & Francophone Studies,22F,2,Open,0/22,Lamia Benyoussef,5,M W F | 11:45 AM - 12:50 PM,Rm 101 Alameda hall,"Core Foundations :: Second Language: Arts and Social Sciences

Core Foundations :: Second Language: Business and Natural Sciences",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
"FREN 110-1 - Contemporary France: Cultures, Society and Politics (-)",French & Francophone Studies,110,1,Open,0/22,Jimia Boutouba,5,T Th | 10:20 AM - 12:00 PM,Rm 105 Kenna Hall,"Core Foundations :: Second Language: Arts and Social Sciences

Core Foundations :: Second Language: Business and Natural Sciences",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
FREN 117-1 - French Orientalism,French & Francophone Studies,117,1,Open,0/22,Jimia Boutouba,5,T Th | 12:10 PM - 1:50 PM,Rm 105 Kenna Hall,"Core Foundations :: Second Language: Arts and Social Sciences

Core Foundations :: Second Language: Business and Natural Sciences

Pathways :: Gender, Globalization and Empire

Pathways :: Islamic Studies",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
