Course Section,Course Subject,Course Number,Section Number,Section Status,Enrolled/Capacity,All Instructors,Units,Meeting Patterns,Locations,Course Tags,Instructional Format,Delivery Mode,Start Date,End Date,Academic Period,Overlapping Course(s)
MKTG 2505-2 - Data Driven Marketing using R,Marketing,2505,2,Open,0/25,Sujata Ramnarayan,4,M W | 7:35 PM - 9:10 PM,Rm 307 Lucas Hall,Graduate Business :: On-campus MS Business Analytics,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,MKTG 2505-/MKTG 2505-3
MKTG 2505-3 - Data Driven Marketing using R,Marketing,2505,3,Open,0/10,Sujata Ramnarayan,4,M W | 7:35 PM - 9:10 PM,Rm 307 Lucas Hall,Graduate Business :: Evening MBA,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,MKTG 2505-/MKTG 2505-2
MKTG 2505-4 - Data Driven Marketing using R,Marketing,2505,4,Open,0/20,Xiaojing Dong,4,,,Online,Lecture,Online,2026-01-05,2026-03-15,Winter 2026 Quarter,MKTG 2505-/MKTG 2505-5/MKTG 2505-6
MKTG 2505-5 - Data Driven Marketing using R,Marketing,2505,5,Open,0/10,Xiaojing Dong,4,,,Graduate Business :: Online MBA,Lecture,Online,2026-01-05,2026-03-15,Winter 2026 Quarter,MKTG 2505-/MKTG 2505-4/MKTG 2505-6
MKTG 3000-1 - CORE: Marketing Is Everything,Marketing,3000,1,Open,0/30,Juan Montermoso,4,,,Graduate Business :: Online MBA,Lecture,Online,2026-01-05,2026-03-15,Winter 2026 Quarter,
MKTG 3000-2 - CORE: Marketing Is Everything,Marketing,3000,2,Open,0/30,Aditi Bajaj,4,,,Graduate Business :: Online MBA,Lecture,Online,2026-01-05,2026-03-15,Winter 2026 Quarter,
MKTG 3201-1 - Sports Marketing,Marketing,3201,1,Closed,0/0,,4,T Th | 7:35 PM - 9:10 PM,Rm 308 Lucas Hall,Graduate Business :: On-campus MS Sports Business,Lecture,Hybrid,2026-01-05,2026-03-20,Winter 2026 Quarter,
MKTG 3554-1 - Analyzing Customers and Markets,Marketing,3554,1,Open,0/20,Michael Merz,4,T Th | 7:35 PM - 9:10 PM,Rm 309 Lucas Hall,Graduate Business :: Evening MBA,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,MKTG 3554-/MKTG 3554-2
MKTG 3554-2 - Analyzing Customers and Markets,Marketing,3554,2,Open,0/10,Michael Merz,4,T Th | 7:35 PM - 9:10 PM,Rm 309 Lucas Hall,Graduate Business :: On-campus MS Marketing,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,MKTG 3554-/MKTG 3554-1
MKTG 3572-1 - Product Management - Concept to Execution,Marketing,3572,1,Open,0/25,Patrick Williams,4,,,Online,Lecture,Online,2026-01-05,2026-03-15,Winter 2026 Quarter,MKTG 3572-/MKTG 3572-2
MKTG 3572-2 - Product Management - Concept to Execution,Marketing,3572,2,Open,0/15,Patrick Williams,4,,,Graduate Business :: Online MBA,Lecture,Online,2026-01-05,2026-03-15,Winter 2026 Quarter,MKTG 3572-/MKTG 3572-1
MKTG 3596-1 - Integrated Market Communications,Marketing,3596,1,Open,0/25,Charles Byers,4,,,Online,Lecture,Online,2026-01-05,2026-03-15,Winter 2026 Quarter,MKTG 3596-/MKTG 3596-3/MKTG 3596-2
MKTG 3596-2 - Integrated Market Communications,Marketing,3596,2,Open,0/5,Charles Byers,4,,,Online,Lecture,Online,2026-01-05,2026-03-15,Winter 2026 Quarter,MKTG 3596-/MKTG 3596-1/MKTG 3596-3
MKTG 3596-3 - Integrated Market Communications,Marketing,3596,3,Open,0/5,Charles Byers,4,,,Graduate Business :: Online MBA,Lecture,Online,2026-01-05,2026-03-15,Winter 2026 Quarter,MKTG 3596-/MKTG 3596-1/MKTG 3596-2
MKTG 3801-1 - Social Media Marketing,Marketing,3801,1,Open,0/25,Yuchi Zhang,4,,,Online,Lecture,Online,2026-01-05,2026-03-15,Winter 2026 Quarter,MKTG 3801-/MKTG 3801-2/MKTG 3801-3
MKTG 3801-2 - Social Media Marketing,Marketing,3801,2,Open,0/5,Yuchi Zhang,4,,,Graduate Business :: Online MBA,Lecture,Online,2026-01-05,2026-03-15,Winter 2026 Quarter,MKTG 3801-/MKTG 3801-1/MKTG 3801-3
