Course Section,Course Subject,Course Number,Section Number,Section Status,Enrolled/Capacity,All Instructors,Units,Meeting Patterns,Locations,Course Tags,Instructional Format,Delivery Mode,Start Date,End Date,Academic Period,Overlapping Course(s)
CHIN 2-1 - Introduction to Chinese Language and Chinese-Speaking Cultures II (-),Chinese,2,1,Open,0/22,Yujie Ge,4,M W F | 11:45 AM - 12:50 PM,Rm 216 Kenna Hall,Core Foundations :: Second Language: Business and Natural Sciences,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CHIN 2-2 - Introduction to Chinese Language and Chinese-Speaking Cultures II (-),Chinese,2,2,Open,0/22,Yujie Ge,4,M W F | 1:00 PM - 2:05 PM,Rm 216 Kenna Hall,Core Foundations :: Second Language: Business and Natural Sciences,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
"CHIN 11A-1 - Cultures & Ideas I (Heroes, Villains, Gods, and Monsters in Sinophone Cultures from a Global Perspective)",Chinese,11A,1,Open,0/25,Hsin-hung Yeh | Hsin-hung Yeh,4,M W F | 10:30 AM - 11:35 AM,Rm 007 Casa Italiana Residence,Core Foundations :: Cultures and Ideas 1,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CHIN 22-1 - Chinese Language and Chinese-Speaking Cultures II (-),Chinese,22,1,Open,0/22,Hsin-hung Yeh | Hsin-hung Yeh,4,M W F | 11:45 AM - 12:50 PM,Rm 007 Casa Italiana Residence,"Core Foundations :: Second Language: Arts and Social Sciences

Core Foundations :: Second Language: Business and Natural Sciences",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CHIN 101-1 - Advanced Chinese II (-),Chinese,101,1,Open,0/22,Yujie Ge,5,M W F | 3:30 PM - 4:35 PM,Rm 216 Kenna Hall,"Core Foundations :: Second Language: Arts and Social Sciences

Core Foundations :: Second Language: Business and Natural Sciences",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
CHIN 126-1 - Sinophone Pop Culture in a Global Context,Chinese,126,1,Open,0/22,Hsin-hung Yeh | Hsin-hung Yeh,5,M W F | 1:00 PM - 2:05 PM,Rm 164 Graham Hall,Core Explorations :: Cultures and Ideas 3,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
