Course Section,Course Subject,Course Number,Section Number,Section Status,Enrolled/Capacity,All Instructors,Units,Meeting Patterns,Locations,Course Tags,Instructional Format,Delivery Mode,Start Date,End Date,Academic Period,Overlapping Course(s)
ASCI 98-1 - Personal and Professional Discernment at SCU,Arts and Sciences,98,1,Closed,0/0,Sarah Hays,1 - 4,,,,Internship,Online,2026-01-05,2026-03-20,Winter 2026 Quarter,
"ASCI 112-1 - Discover and Define: Your Academic, Personal, and Professional Journey",Arts and Sciences,112,1,Open,0/20,Sarah Hays,2,M | 2:15 PM - 3:55 PM,Rm 225 Heafey Hall,,Discussion,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
"ASCI 112-2 - Discover and Define: Your Academic, Personal, and Professional Journey",Arts and Sciences,112,2,Open,0/20,Sarah Hays,2,Th | 3:50 PM - 5:30 PM,Rm 110 O'Connor Hall,,Discussion,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ASCI 190-1 - Peer Advising Practicum,Arts and Sciences,190,1,Open,0/12,Calvin Miller,1,M | 5:25 PM - 7:10 PM,,,Discussion,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
ASCI 198-1 - Personal and Professional Discernment at SCU,Arts and Sciences,198,1,Closed,0/0,Sarah Hays,1 - 4,,,,Internship,Online,2026-01-05,2026-03-20,Winter 2026 Quarter,
